INPUT_1_FACTSII_DBA,INPUT_1_RECORD_ID,INPUT_1_PREMISESADDRESS,INPUT_1_PREMISESCITYSTATEZIP,INPUT_1_BORO,OUTPUT_X_Coordinate,OUTPUT_Y_Coordinate,entity_ID,CUISINE
ANGELICA'S CAFE,50055382,424 CHURCH AVE,"BROOKLYN, NY 11218-3108",BROOKLYN,990830,173946,50055382,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
ANNABELLE'S,50047502,717 86TH ST,"BROOKLYN, NY 11228-3219",BROOKLYN,978298,164655,50047502,Italian
ANNEX,50010893,753 FULTON ST,"BROOKLYN, NY 11217-1518",BROOKLYN,991295,189346,50010893,American
ANTOJITOS MEXICANO,50038065,511 W 181ST ST FRNT GF,"NEW YORK, NY 10033-5137",MANHATTAN,1003230,248360,50038065,Spanish
APPLE GARDEN,50035047,10855 GUY R BREWER BLVD,"JAMAICA, NY 11433-2815",QUEENS,1042312,192816,50035047,Chinese
ARBY'S,50040458,611B 8TH AVE,"NEW YORK, NY 10018-3004",MANHATTAN,986771,214610,50040458,Sandwiches
ARBY'S,50051232,32 E 23RD ST,"NEW YORK, NY 10010-4401",MANHATTAN,987690,209132,50051232,Sandwiches
ARCHESTRATUS,50037531,160 HURON ST,"BROOKLYN, NY 11222-1312",BROOKLYN,996593,206315,50037531,Caf&eacute;/Coffee/Tea
ARCHIE'S TAP AND TABLE,50035339,536 CITY ISLAND AVE BLDG GRND,"BRONX, NY 10464-1220",BRONX,1042449,250050,50035339,American
AREPA LADY,50064714,445 GOLD ST UNIT B-26,"BROOKLYN, NY 11201-3017",BROOKLYN,988839,190966,50064714,Spanish
ARROGANT SWINE,50016031,173 MORGAN AVE BLDG FLOOR,"BROOKLYN, NY 11237-1015",BROOKLYN,1002727,197987,50016031,Barbecue
ARTH ALGANATIN,50039472,700 RHINELANDER AVE,"BRONX, NY 10462-3437",BRONX,1021087,248075,50039472,Middle Eastern
AS IS,50040181,734 10TH AVE,"NEW YORK, NY 10019-7019",MANHATTAN,986546,217905,50040181,American
ASIAN 59,50049572,207 E 59TH ST,"NEW YORK, NY 10022-1403",MANHATTAN,993630,216668,50049572,Chinese/Japanese
ASIAN GOURMET,50005340,5711 MAIN ST,"FLUSHING, NY 11355-5332",QUEENS,1032435,211178,50005340,Asian
ASTORIA COFFEE,50012357,3004 30TH ST,"ASTORIA, NY 11102-2238",QUEENS,1005730,218709,50012357,Caf&eacute;/Coffee/Tea
ATO,50057692,28 GRAND ST,"NEW YORK, NY 10013-1617",MANHATTAN,982942,202627,50057692,Chinese
AUNT JAKES,50042787,151 MULBERRY ST,"NEW YORK, NY 10013-4721",MANHATTAN,984955,201235,50042787,Italian
AUSTINS,50064351,19611 LINDEN BLVD BLDG 1,"SAINT ALBANS, NY 11412-3245",QUEENS,1052022,192041,50064351,Soul Food
AVENUE J PIZZERIA,50054602,4102 AVENUE J,"BROOKLYN, NY 11210-4442",BROOKLYN,1001915,167947,50054602,Pizza/Italian
AVOCADO SUSHI,50034597,4906 ARTHUR KILL RD STE B,"STATEN ISLAND, NY 10309-2601",STATEN ISLAND,917734,129809,50034597,Japanese
AWADH,50011024,2588 BROADWAY,"NEW YORK, NY 10025-5654",MANHATTAN,992270,229158,50011024,Indian
AZUL CAFE EATERY,50055298,14101 32ND AVE,"FLUSHING, NY 11354-2662",QUEENS,1032039,219415,50055298,Spanish
Abou Bakery,50060808,21023 JAMAICA AVE,"QUEENS VILLAGE, NY 11428-1585",QUEENS,1053525,199858,50060808,Bakery
Aita Trattoria,50008983,798A FRANKLIN AVE,"BROOKLYN, NY 11238-6203",BROOKLYN,995951,183785,50008983,Italian
B & D HALAL RESTAURANT,50061081,163 W 29TH ST FRNT,"NEW YORK, NY 10001-5101",MANHATTAN,986536,211566,50061081,African
B & K FRENCH CUISINE,50044737,2167 ADAM CLAYTON POWELL JR BLVD,"NEW YORK, NY 10027-3028",MANHATTAN,998996,234804,50044737,French
BABA COOL,50007363,64 LAFAYETTE AVE STE B,"BROOKLYN, NY 11217-2283",BROOKLYN,991082,189607,50007363,American
BABU GRILL,50055667,964 CONEY ISLAND AVENUE,"BROOKLYN, NY 11230-1403",BROOKLYN,993329,170270,50055667,Pakistani
BACHUE,50037329,8602 37TH AVE,"JACKSON HEIGHTS, NY 11372-7533",QUEENS,1017377,212598,50037329,Spanish
BAGEL MILL,50049169,1700 1ST AVE,"NEW YORK, NY 10128-4902",MANHATTAN,998586,222880,50049169,Bagels/Pretzels
BAMBINO PIZZA,50034133,5656 MYRTLE AVE,"RIDGEWOOD, NY 11385-4736",QUEENS,1010769,194437,50034133,Pizza
BAMBOO HOUSE,50055343,13458 SPRINGFIELD BLVD,"SPRINGFIELD GARDENS, NY 11413-1459",QUEENS,1052465,186756,50055343,Chinese
BANH MI ZON,50041630,443 E 6TH ST,"NEW YORK, NY 10009-6340",MANHATTAN,988361,203774,50041630,Asian
BAR HUGO,50035433,523 GREENWICH ST,"NEW YORK, NY 10013-1002",MANHATTAN,981749,203911,50035433,American
BAY RIDGE CENTER SOUP KITCHEN,50050741,411 OVINGTON AVE,"BROOKLYN, NY 11209-1504",BROOKLYN,977777,170070,50050741,American
BAYARDS ALE HOUSE,50042279,1589 1ST AVE FL 1,"NEW YORK, NY 10028-4201",MANHATTAN,997819,221510,50042279,Irish
BAZNGA CAFE,50064594,426 AMSTERDAM AVE,"NEW YORK, NY 10024-5846",MANHATTAN,990447,224956,50064594,"Ice Cream, Gelato, Yogurt, Ices"
BBQ OLIVE CHICKEN,50056626,25 W 32ND ST,"NEW YORK, NY 10001-3806",MANHATTAN,988026,211624,50056626,Korean
BEAUTIFUL PARADISE RESTAURANT,50013445,2362 JEROME AVE,"BRONX, NY 10468-7107",BRONX,1011150,252694,50013445,Spanish
BED STUY PROVISIONS,50041010,563 GATES AVE,"BROOKLYN, NY 11221-1243",BROOKLYN,999800,189571,50041010,Caf&eacute;/Coffee/Tea
BEEHIVE OVEN,50009441,743 DRIGGS AVE STE 1,"BROOKLYN, NY 11211-5354",BROOKLYN,995153,198869,50009441,American
BELLEROSE FAMOUS PIZZA,50048777,9910 63RD RD,"REGO PARK, NY 11374-1940",QUEENS,1024042,206211,50048777,Pizza
BELMARI'S BAKERY,50035965,59 W 170TH ST,"BRONX, NY 10452-3223",BRONX,1006141,245459,50035965,Bakery
BENSON EATING STATION,50006033,2435 86TH ST,"BROOKLYN, NY 11214-4448",BROOKLYN,987462,157392,50006033,Chinese
